t_s,imu,report,x,y,z,w
4.582800,0x4A,accel,8.402344,-4.199219,-0.832031,
4.583996,0x4B,gyro,-0.001953,-0.003906,0.005859,
4.584003,0x4B,quat,0.029602,-0.748779,-0.024170,0.661682
4.585638,0x4A,gyro,-0.005859,-0.007812,0.013672,
4.585657,0x4A,quat,-0.176331,-0.716736,0.147034,0.658447
4.586324,0x4B,accel,9.316406,0.753906,-1.285156,
4.586971,0x4A,accel,8.359375,-4.160156,-0.871094,
4.588466,0x4B,accel,9.355469,0.753906,-1.207031,
4.588473,0x4B,gyro,0.001953,-0.003906,0.017578,
4.588481,0x4B,quat,0.029541,-0.748840,-0.024109,0.661682
4.589151,0x4A,accel,8.398438,-4.160156,-0.871094,
4.589900,0x4B,accel,9.390625,0.718750,-1.246094,
4.591815,0x4A,gyro,0.005859,-0.003906,0.007812,
4.591823,0x4A,quat,-0.176331,-0.716736,0.147034,0.658447
4.592447,0x4B,gyro,-0.001953,-0.003906,0.009766,
4.593079,0x4A,accel,8.359375,-4.160156,-0.832031,
4.593977,0x4B,quat,0.029541,-0.748840,-0.024109,0.661621
4.595153,0x4A,gyro,0.001953,-0.003906,0.005859,
4.595157,0x4A,quat,-0.176331,-0.716736,0.147095,0.658447
4.595776,0x4B,accel,9.316406,0.718750,-1.246094,
4.596401,0x4A,accel,8.398438,-4.160156,-0.871094,
4.597011,0x4B,gyro,0.001953,-0.003906,0.009766,
4.597628,0x4A,gyro,0.000000,-0.003906,0.013672,
4.598487,0x4B,quat,0.029541,-0.748901,-0.024109,0.661560
4.599359,0x4A,quat,-0.176392,-0.716797,0.147095,0.658386
4.599975,0x4B,accel,9.394531,0.679688,-1.207031,
4.600915,0x4A,accel,8.359375,-4.160156,-0.832031,
4.602722,0x4B,gyro,-0.001953,0.000000,0.015625,
4.603353,0x4A,gyro,0.001953,-0.003906,0.003906,
4.604313,0x4B,quat,0.029541,-0.748901,-0.024109,0.661560
4.605559,0x4A,quat,-0.176392,-0.716797,0.147156,0.658386
4.606685,0x4B,accel,9.351562,0.679688,-1.246094,
4.606692,0x4B,accel,9.351562,0.640625,-1.285156,
4.607343,0x4A,accel,8.402344,-4.199219,-0.832031,
4.608518,0x4B,gyro,-0.003906,-0.003906,0.009766,
4.608525,0x4B,quat,0.029480,-0.748962,-0.024048,0.661499
4.609214,0x4A,accel,8.359375,-4.160156,-0.832031,
4.609973,0x4B,accel,9.351562,0.640625,-1.246094,
4.611897,0x4A,gyro,0.001953,-0.001953,0.007812,
4.611906,0x4A,quat,-0.176392,-0.716797,0.147156,0.658386
4.612548,0x4B,gyro,0.001953,0.000000,0.009766,
4.613215,0x4A,accel,8.402344,-4.199219,-0.871094,
4.615127,0x4B,quat,0.029480,-0.748962,-0.024048,0.661499
4.616818,0x4A,gyro,0.000000,0.000000,0.009766,
4.616823,0x4A,quat,-0.176392,-0.716736,0.147156,0.658386
4.617432,0x4B,accel,9.351562,0.679688,-1.285156,
4.618052,0x4A,accel,8.398438,-4.160156,-0.871094,
4.619951,0x4B,gyro,0.003906,-0.003906,0.005859,
4.619955,0x4B,quat,0.029480,-0.749023,-0.024048,0.661499
4.621866,0x4A,gyro,-0.001953,-0.001953,0.007812,
4.621870,0x4A,quat,-0.176453,-0.716736,0.147156,0.658386
4.622495,0x4B,accel,9.312500,0.679688,-1.246094,
4.623108,0x4A,accel,8.402344,-4.199219,-0.832031,
4.624578,0x4B,gyro,0.000000,0.000000,0.009766,
4.624596,0x4B,quat,0.029480,-0.749023,-0.024048,0.661438
4.624604,0x4B,accel,9.351562,0.640625,-1.285156,
4.626213,0x4A,gyro,0.000000,-0.001953,0.003906,
4.626220,0x4A,quat,-0.176453,-0.716736,0.147217,0.658386
4.626866,0x4B,accel,9.351562,0.640625,-1.246094,
4.627514,0x4A,accel,8.359375,-4.160156,-0.832031,
4.628705,0x4B,gyro,0.005859,0.001953,0.007812,
4.628712,0x4B,quat,0.029419,-0.749023,-0.023987,0.661438
4.629881,0x4A,gyro,0.000000,-0.003906,0.005859,
4.629888,0x4A,quat,-0.176453,-0.716736,0.147217,0.658386
4.630528,0x4B,accel,9.351562,0.679688,-1.246094,
4.631177,0x4A,accel,8.359375,-4.160156,-0.832031,
4.631806,0x4B,gyro,0.001953,0.003906,0.005859,
4.632440,0x4A,accel,8.398438,-4.160156,-0.832031,
4.633313,0x4B,quat,0.029419,-0.749084,-0.023987,0.661377
4.634458,0x4A,gyro,0.005859,0.000000,0.007812,
4.634462,0x4A,quat,-0.176453,-0.716736,0.147217,0.658386
4.635137,0x4B,accel,9.355469,0.718750,-1.246094,
4.635982,0x4A,accel,8.363281,-4.199219,-0.832031,
4.637821,0x4B,gyro,-0.001953,0.001953,0.007812,
4.638462,0x4A,gyro,0.003906,-0.001953,0.001953,
4.639665,0x4B,quat,0.029419,-0.749084,-0.023987,0.661377
