t_s,stream,v1,v2,v3,v4
4.576509,shank_gyro,0.001953,0.001953,0.001953,
4.577347,foot_accel,0.812500,2.007812,-9.531250,
4.577988,shank_accel,-0.375000,2.402344,-9.750000,
4.579075,foot_gyro,0.000000,0.000000,0.000000,
4.579440,toe_fsr,-2,,,
4.580245,shank_gyro,-0.005859,-0.001953,-0.001953,
4.580482,encoder,121.113281,,,
4.581114,foot_accel,0.812500,2.007812,-9.492188,
4.581346,heel_fsr,420,,,
4.582297,shank_accel,-0.335938,2.402344,-9.675781,
4.583110,foot_gyro,0.000000,0.000000,0.000000,
4.583935,encoder,121.113281,,,
4.584999,foot_accel,0.812500,2.042969,-9.531250,
4.585229,toe_fsr,-2,,,
4.586441,shank_gyro,-0.001953,0.001953,0.000000,
4.587060,foot_gyro,0.000000,0.000000,0.000000,
4.587283,heel_fsr,420,,,
4.587903,shank_accel,-0.375000,2.441406,-9.671875,
4.589386,foot_accel,0.812500,2.042969,-9.531250,
4.589614,toe_fsr,9,,,
4.591122,shank_gyro,0.000000,0.001953,-0.001953,
4.591386,heel_fsr,419,,,
4.591651,encoder,121.113281,,,
4.593171,foot_gyro,0.000000,0.000000,0.000000,
4.593423,toe_fsr,2,,,
4.594735,shank_accel,-0.414062,2.363281,-9.675781,
4.595002,encoder,121.113281,,,
4.595653,foot_accel,0.812500,2.007812,-9.531250,
4.595920,heel_fsr,424,,,
4.597798,shank_accel,-0.375000,2.402344,-9.750000,
4.597806,shank_gyro,0.003906,-0.001953,0.000000,
4.599098,foot_accel,0.812500,2.042969,-9.562500,
4.599725,shank_accel,-0.375000,2.363281,-9.710938,
4.599955,toe_fsr,-1,,,
4.600343,encoder,121.113281,,,
4.600974,foot_gyro,0.000000,0.000000,0.000000,
4.602807,shank_gyro,-0.005859,-0.007812,0.003906,
4.602814,shank_accel,-0.375000,2.402344,-9.710938,
4.603053,heel_fsr,416,,,
4.605082,foot_accel,0.812500,2.042969,-9.492188,
4.605088,foot_gyro,0.000000,0.000000,0.000000,
4.605314,toe_fsr,9,,,
4.606545,shank_gyro,0.001953,0.001953,-0.001953,
4.606779,encoder,121.113281,,,
4.607407,foot_accel,0.812500,2.007812,-9.531250,
4.607641,heel_fsr,427,,,
4.608254,shank_accel,-0.335938,2.441406,-9.714844,
4.608486,encoder,121.113281,,,
4.609735,foot_gyro,0.000000,0.000000,0.000000,
4.610944,shank_gyro,0.001953,0.001953,0.001953,
4.611196,toe_fsr,1,,,
4.612063,foot_accel,0.812500,2.007812,-9.531250,
4.612725,shank_accel,-0.375000,2.402344,-9.675781,
4.612977,heel_fsr,413,,,
4.614692,foot_gyro,0.000000,0.000000,0.000000,
4.614700,foot_accel,0.812500,2.007812,-9.531250,
4.614953,toe_fsr,-3,,,
4.615802,shank_accel,-0.414062,2.441406,-9.714844,
4.616064,encoder,121.113281,,,
4.616724,foot_accel,0.812500,2.007812,-9.531250,
4.616984,heel_fsr,411,,,
4.618182,shank_gyro,-0.005859,-0.001953,0.001953,
4.618187,shank_accel,-0.335938,2.402344,-9.750000,
4.619148,foot_gyro,0.000000,0.000000,0.000000,
4.619772,shank_gyro,0.001953,0.000000,-0.001953,
4.620001,toe_fsr,6,,,
4.620389,encoder,121.113281,,,
4.621026,foot_accel,0.812500,2.042969,-9.531250,
4.622090,shank_accel,-0.375000,2.402344,-9.750000,
4.622326,heel_fsr,426,,,
4.623125,foot_gyro,0.000000,0.000000,0.000000,
4.623971,encoder,121.113281,,,
4.624763,foot_accel,0.812500,2.042969,-9.562500,
4.624994,toe_fsr,9,,,
4.626172,shank_gyro,-0.001953,-0.003906,0.003906,
4.627052,heel_fsr,432,,,
4.627702,shank_accel,-0.375000,2.402344,-9.710938,
4.629021,foot_gyro,0.000000,0.000000,0.000000,
4.629682,shank_accel,-0.375000,2.402344,-9.710938,
4.629932,toe_fsr,-2,,,
4.630367,encoder,121.113281,,,
4.631030,foot_accel,0.812500,2.042969,-9.531250,
4.631702,shank_gyro,-0.003906,0.000000,0.003906,
4.631966,heel_fsr,430,,,
4.632801,foot_gyro,0.000000,0.000000,0.000000,
4.633449,shank_accel,-0.375000,2.402344,-9.710938,
4.633712,encoder,121.113281,,,
4.633970,toe_fsr,0,,,
4.635182,foot_accel,0.851562,2.042969,-9.531250,
4.636490,shank_gyro,0.000000,0.000000,-0.003906,
4.636714,heel_fsr,431,,,
4.637540,foot_accel,0.812500,2.007812,-9.531250,
4.638193,shank_accel,-0.335938,2.402344,-9.710938,
4.638429,toe_fsr,6,,,
4.638824,encoder,121.113281,,,
4.639461,foot_gyro,0.000000,0.000000,0.000000,
4.640730,shank_gyro,-0.003906,0.000000,0.005859,
4.640966,heel_fsr,412,,,
4.641748,foot_accel,0.812500,1.968750,-9.492188,
4.642416,shank_accel,-0.335938,2.441406,-9.714844,
4.643205,foot_gyro,0.000000,0.000000,0.000000,
4.643431,toe_fsr,2,,,
4.644429,encoder,121.113281,,,
4.645149,foot_accel,0.812500,2.007812,-9.531250,
4.645380,heel_fsr,409,,,
4.646438,shank_gyro,0.003906,0.000000,0.003906,
4.647244,foot_gyro,0.000000,0.000000,0.000000,
4.647896,shank_accel,-0.335938,2.363281,-9.710938,
4.648774,toe_fsr,-4,,,
4.649596,shank_accel,-0.335938,2.402344,-9.710938,
4.649860,encoder,121.113281,,,
4.650515,foot_accel,0.812500,2.007812,-9.531250,
4.650778,heel_fsr,423,,,
4.651460,shank_gyro,0.000000,-0.001953,-0.003906,
4.652303,foot_gyro,0.000000,0.000000,0.000000,
4.652943,shank_accel,-0.335938,2.402344,-9.675781,
4.653983,foot_accel,0.851562,2.007812,-9.492188,
4.654234,toe_fsr,6,,,
4.655059,shank_gyro,0.000000,0.000000,0.000000,
4.655322,encoder,121.113281,,,
4.656176,heel_fsr,425,,,
4.657215,shank_accel,-0.335938,2.402344,-9.710938,
4.658579,foot_accel,0.851562,2.007812,-9.492188,
4.659415,toe_fsr,3,,,
4.659796,encoder,121.113281,,,
4.660442,foot_gyro,0.000000,0.000000,0.000000,
4.661451,shank_gyro,-0.001953,0.001953,0.003906,
4.661680,heel_fsr,420,,,
4.662472,foot_accel,0.851562,2.007812,-9.492188,
4.663085,shank_accel,-0.335938,2.402344,-9.675781,
4.664371,foot_gyro,0.000000,0.000000,0.000000,
4.664703,toe_fsr,-2,,,
4.665938,shank_gyro,0.000000,0.000000,-0.001953,
4.666202,encoder,121.113281,,,
4.666846,foot_accel,0.812500,2.007812,-9.492188,
4.667109,heel_fsr,432,,,
4.667755,shank_accel,-0.375000,2.402344,-9.710938,
4.669001,foot_gyro,0.000000,0.000000,0.000000,
4.669642,shank_accel,-0.335938,2.441406,-9.753906,
4.669892,toe_fsr,1,,,
4.670326,encoder,121.113281,,,
4.670971,foot_accel,0.812500,2.007812,-9.531250,
4.672043,shank_gyro,0.001953,-0.001953,-0.001953,
4.672311,heel_fsr,431,,,
4.673830,foot_gyro,0.000000,0.000000,0.000000,
4.674050,toe_fsr,6,,,
4.674828,shank_accel,-0.335938,2.402344,-9.750000,
4.675054,encoder,121.113281,,,
4.675689,foot_accel,0.851562,2.007812,-9.562500,
4.675917,heel_fsr,426,,,
4.677435,shank_gyro,0.001953,-0.001953,0.000000,
4.677441,shank_accel,-0.375000,2.402344,-9.710938,
4.678637,foot_accel,0.851562,2.007812,-9.531250,
4.679252,shank_gyro,0.000000,0.000000,-0.001953,
4.679474,toe_fsr,-6,,,
4.679860,encoder,121.113281,,,
4.680502,foot_gyro,0.000000,0.000000,0.000000,
4.681521,shank_accel,-0.375000,2.402344,-9.675781,
4.681760,heel_fsr,406,,,
4.683341,foot_accel,0.851562,2.007812,-9.492188,
4.683609,toe_fsr,0,,,
4.684438,shank_accel,-0.375000,2.441406,-9.671875,
4.684700,encoder,121.113281,,,
4.685370,foot_gyro,0.000000,0.000000,0.000000,
4.685633,heel_fsr,418,,,
4.686295,shank_gyro,-0.001953,-0.001953,-0.003906,
4.687140,foot_accel,0.851562,2.007812,-9.531250,
4.687784,shank_accel,-0.335938,2.402344,-9.675781,
4.688039,toe_fsr,7,,,
4.688473,encoder,121.113281,,,
4.689662,foot_gyro,0.000000,0.000000,0.000000,
4.689926,heel_fsr,426,,,
4.690576,shank_gyro,-0.001953,0.003906,0.000000,
4.691451,foot_accel,0.851562,2.007812,-9.531250,
4.692498,shank_accel,-0.375000,2.402344,-9.710938,
4.692723,toe_fsr,5,,,
4.693909,foot_gyro,0.000000,0.000000,0.000000,
4.694737,heel_fsr,422,,,
4.694958,encoder,121.113281,,,
4.695745,foot_accel,0.851562,2.042969,-9.531250,
4.696789,shank_gyro,-0.001953,0.001953,-0.001953,
4.697011,toe_fsr,-3,,,
4.697791,foot_accel,0.812500,2.007812,-9.492188,
4.698411,shank_accel,-0.375000,2.441406,-9.714844,
4.698639,encoder,121.113281,,,
4.699301,foot_gyro,0.000000,0.000000,0.000000,
4.699529,heel_fsr,419,,,
4.700729,shank_gyro,-0.003906,-0.001953,-0.003906,
4.701521,foot_accel,0.851562,2.007812,-9.492188,
4.702209,shank_accel,-0.335938,2.402344,-9.710938,
4.702428,toe_fsr,2,,,
4.703324,foot_gyro,0.000000,0.000000,0.000000,
4.703974,shank_accel,-0.335938,2.402344,-9.710938,
4.704227,heel_fsr,420,,,
4.704490,encoder,121.113281,,,
4.705350,foot_accel,0.851562,2.042969,-9.492188,
4.706026,shank_gyro,-0.003906,-0.003906,0.001953,
4.706275,toe_fsr,5,,,
4.707756,shank_accel,-0.335938,2.402344,-9.675781,
4.708413,foot_gyro,0.000000,0.000000,0.000000,
4.708675,heel_fsr,425,,,
4.709354,shank_gyro,-0.001953,0.003906,0.005859,
4.709617,encoder,121.113281,,,
4.710481,foot_accel,0.812500,2.007812,-9.531250,
4.711506,shank_accel,-0.335938,2.402344,-9.710938,
4.711732,toe_fsr,-1,,,
4.712511,foot_gyro,0.000000,0.000000,0.000000,
4.714141,foot_accel,0.851562,2.042969,-9.492188,
4.714364,heel_fsr,419,,,
4.715657,shank_gyro,0.003906,0.001953,0.000000,
4.715891,encoder,121.113281,,,
4.717622,shank_accel,-0.335938,2.402344,-9.710938,
4.717848,toe_fsr,0,,,
4.719048,foot_accel,0.812500,2.007812,-9.492188,
4.719681,shank_accel,-0.335938,2.402344,-9.710938,
4.719909,heel_fsr,417,,,
4.720138,encoder,121.113281,,,
4.721060,foot_gyro,0.000000,0.000000,0.000000,
4.721717,shank_gyro,-0.003906,-0.001953,0.000000,
4.721966,toe_fsr,8,,,
4.722802,foot_accel,0.812500,2.007812,-9.531250,
4.723448,shank_accel,-0.375000,2.441406,-9.714844,
4.723699,heel_fsr,412,,,
4.723953,encoder,121.113281,,,
4.725224,foot_gyro,0.000000,0.000000,0.000000,
4.725873,shank_gyro,-0.001953,0.001953,0.001953,
4.726119,toe_fsr,3,,,
4.726980,foot_accel,0.812500,2.007812,-9.492188,
4.727638,shank_accel,-0.375000,2.402344,-9.675781,
4.727888,heel_fsr,406,,,
4.728541,foot_gyro,0.000000,0.000000,0.000000,
4.729450,encoder,121.113281,,,
4.730418,foot_accel,0.851562,2.007812,-9.531250,
4.731040,shank_gyro,0.003906,0.001953,0.003906,
4.731869,toe_fsr,-2,,,
4.732662,shank_accel,-0.375000,2.402344,-9.675781,
4.733678,foot_gyro,0.000000,0.000000,0.000000,
4.733899,heel_fsr,410,,,
4.734732,encoder,121.113281,,,
4.735546,foot_accel,0.812500,2.007812,-9.492188,
4.736558,shank_gyro,-0.001953,-0.003906,0.000000,
4.736782,toe_fsr,5,,,
4.737563,foot_accel,0.812500,2.007812,-9.531250,
4.738189,shank_accel,-0.375000,2.441406,-9.714844,
4.739282,foot_gyro,0.000000,0.000000,0.000000,
4.739525,heel_fsr,410,,,
4.740663,shank_accel,-0.375000,2.402344,-9.710938,
4.740935,encoder,121.113281,,,
4.741792,foot_accel,0.812500,2.007812,-9.531250,
4.742701,shank_gyro,0.003906,0.001953,0.000000,
4.742953,toe_fsr,2,,,
4.743789,foot_gyro,0.000000,0.000000,0.000000,
4.744454,shank_accel,-0.335938,2.363281,-9.675781,
4.744713,heel_fsr,417,,,
4.744969,encoder,121.113281,,,
4.745823,foot_accel,0.812500,2.007812,-9.492188,
4.746924,shank_gyro,-0.001953,-0.001953,0.003906,
4.747175,toe_fsr,-2,,,
4.748026,foot_gyro,0.000000,0.000000,0.000000,
4.748677,shank_accel,-0.300781,2.363281,-9.710938,
4.748909,heel_fsr,422,,,
4.749142,encoder,121.113281,,,
4.750369,foot_accel,0.812500,2.042969,-9.531250,
4.751454,shank_gyro,-0.001953,-0.001953,0.005859,
4.751680,toe_fsr,3,,,
4.752460,foot_gyro,0.000000,0.000000,0.000000,
4.753088,shank_accel,-0.335938,2.402344,-9.710938,
4.754087,foot_accel,0.812500,2.007812,-9.531250,
4.754309,heel_fsr,424,,,
4.754926,shank_accel,-0.375000,2.402344,-9.710938,
4.755156,encoder,121.113281,,,
4.756994,shank_gyro,-0.005859,0.000000,-0.003906,
4.757218,toe_fsr,8,,,
4.758771,foot_accel,0.851562,2.042969,-9.531250,
4.759018,heel_fsr,423,,,
4.759661,shank_accel,-0.375000,2.402344,-9.710938,
4.759926,encoder,121.113281,,,
4.760776,foot_gyro,0.000000,0.000000,0.000000,
4.761422,shank_gyro,0.005859,0.000000,0.000000,
